index_of_pixel,label,source_of_pixel
[81 28 46],1.0,3
[41 60 42],2.0,1
[58 41 37],1.0,2
[75 23 39],2.0,3
[36 33 35],1.0,9
[35 46 34],1.0,10
[29 48 35],1.0,7
[43 26 34],2.0,8
[60 45 33],1.0,9
[66 46 58],1.0,9
[47 39 27],1.0,10
[58 46 56],1.0,1
[35 46 39],1.0,7
[34 27 59],1.0,9
[38 44 50],2.0,1
[29 17 39],1.0,8
[37 16 38],1.0,8
[27 39 28],2.0,7
[15 46 15],2.0,7
[32 28 23],1.0,5
[15 20 24],1.0,7
[49 63 28],1.0,3
[28 48 44],2.0,1
[65 33 42],2.0,3
[63 37 33],1.0,9
[40 46 49],2.0,1
[57 41 49],2.0,10
[43 53 30],1.0,2
[41 46 56],1.0,1
[40 20 33],2.0,8
[46 47 56],1.0,3
[42 80 38],1.0,3
[57 49 28],1.0,10
[62 36 47],1.0,9
[37 54 36],2.0,1
[ 8 46 23],2.0,7
[39 38 42],1.0,3
[41 40 23],2.0,8
[70 82 52],1.0,3
[43 32 33],2.0,5
[50 60 57],1.0,3
[26 32 29],2.0,4
[36 19 35],2.0,8
[34 52 34],1.0,2
[18 36 29],2.0,7
[26 47 40],1.0,6
[50 48 36],2.0,10
[20 27  6],1.0,0
[22 47 21],1.0,6
[44 61 38],2.0,10
[49 58 46],1.0,3
[38 32 43],1.0,9
[61 60 28],1.0,3
[21 46 33],2.0,7
[51 18 49],1.0,1
[46 23 33],2.0,5
[40 54 43],2.0,10
[59 32 42],2.0,9
[58 54 41],1.0,9
[75 31 50],2.0,3
[38 43 47],1.0,9
[41 48 47],2.0,1
[48 54 60],1.0,3
[33 43 46],1.0,2
[33 53 29],2.0,7
[54 38 55],1.0,9
[38 50 54],1.0,9
[37 56 35],2.0,10
[71 74 42],1.0,3
[45 34 31],1.0,1
[77 35 46],2.0,3
[13 40 21],1.0,6
[37 42 35],2.0,8
[39 29 59],1.0,9
[74 63 58],1.0,3
[42 30 64],1.0,1
[72 34 33],1.0,3
[50 32 22],1.0,5
[32 47 40],2.0,1
[48 60 49],1.0,3
[38 33 20],1.0,8
[58 58 51],1.0,9
[55 20 44],1.0,9
[36 48 45],1.0,2
[10 22 11],1.0,0
[33 20 32],1.0,8
[23 52 35],1.0,7
[29 35 36],1.0,9
[27 41 52],1.0,9
[61 26 48],1.0,1
[36 43 40],2.0,10
[34 30 40],1.0,9
[35 45 23],2.0,8
[61 26 31],1.0,2
[42 14 31],1.0,2
[56 60 43],1.0,3
[15 12 13],1.0,0
[37 36 25],1.0,8
[48 44 40],2.0,10
[27 38 27],1.0,1
[16 36 34],2.0,7
[55 80 53],1.0,3
[34 15 30],2.0,8
[54 44 32],1.0,3
[63 53 26],1.0,10
[56 30 51],1.0,1
[22 43 24],2.0,7
[50 49 59],1.0,9
[64 47 41],1.0,2
[49 33 23],1.0,5
[29 49 46],2.0,1
[62 26 47],1.0,2
[45 59 31],1.0,10
[35 44 56],1.0,1
[43 49 31],1.0,10
[30 46 48],2.0,1
[46 20 29],1.0,5
[53 30 22],1.0,5
[34 36 30],1.0,2
[34 50 38],2.0,1
[41 35 34],1.0,3
[35 48 28],1.0,5
[56 42 56],1.0,3
[17 28 23],1.0,0
[48 23 25],1.0,5
[49 58 46],2.0,10
[43 40 29],1.0,3
[37 50 48],1.0,3
[33 52 46],2.0,1
[37 36 37],1.0,4
[16 23 18],1.0,7
[21 24 38],1.0,6
[28 44 25],2.0,7
[31 15 27],1.0,7
[17 15  8],1.0,0
[37 65 41],1.0,3
[52 44 43],2.0,10
[24 44 46],1.0,6
[28 47 30],1.0,4
[33 38 50],1.0,9
[44 44 36],1.0,4
[10 22 12],1.0,0
[62 31 35],1.0,9
[51 52 30],1.0,5
[43 31 34],1.0,10
[15 17 33],1.0,6
[53 82 43],1.0,3
[26 13 13],1.0,0
[47 26 26],1.0,1
[24 33 39],1.0,7
[23 33 38],1.0,6
[60 34 59],1.0,3
[23 35 40],1.0,4
[59 83 43],1.0,3
[48 27 38],2.0,5
[27 21 29],1.0,6
[41 42 26],2.0,8
[32 30 29],1.0,5
[48 33 53],1.0,9
[79 30 43],2.0,3
[27 52 18],2.0,7
[16 46 23],1.0,6
[54 17 39],1.0,2
[23 32 25],2.0,7
[47 52 29],1.0,1
[43 24 33],2.0,5
[26  9 11],1.0,0
[38 27 18],1.0,8
[29 33 36],2.0,5
[44 25 43],1.0,9
[38 34 47],1.0,9
[44 46 47],2.0,1
[44 29 50],1.0,10
[50 36 25],1.0,4
[35 64 46],1.0,3
[41 44 52],2.0,10
[36 38 29],1.0,5
[63 47 45],1.0,10
[35 21 19],1.0,8
[38 42 38],2.0,8
[24 36 40],1.0,1
[18 37 15],2.0,7
[25 42 16],2.0,7
[43 15 34],1.0,8
[47 48 34],1.0,5
[46 36 23],1.0,5
[39 43 50],2.0,10
[69 33 52],2.0,3
[47 48 27],1.0,10
[14 42 37],2.0,7
[30 35 35],1.0,6
[50 58 56],1.0,1
[39 48 36],1.0,8
[69 22 43],2.0,3
[30 42 35],1.0,6
[41 24 33],2.0,8
[50 45 51],2.0,3
[51 20 43],1.0,9
[46 19 46],2.0,2
[49 64 60],1.0,3
[63 52 51],1.0,9
[32 28 35],1.0,1
[32 43 38],2.0,8
[37 24 54],1.0,1
[45 53 42],2.0,10
[49 45 45],2.0,3
[34 43 18],1.0,8
[29 51 53],1.0,3
[34 34 37],1.0,9
[35 36 45],2.0,10
[50 52 44],2.0,10
[32 26 39],1.0,7
[56 79 37],1.0,3
[11 21 21],1.0,7
[37 31 44],1.0,9
[67 34 31],1.0,9
[45 41 43],1.0,9
[ 7 42 31],1.0,7
[37 36 61],1.0,1
[27 47 42],2.0,1
[39 43 37],1.0,2
[39 35 28],1.0,9
[50 55 28],1.0,10
[43 55 45],2.0,10
[39 28 56],1.0,1
[70 31 38],1.0,9
[57 57 43],1.0,10
[56 44 52],1.0,1
[46 61 38],1.0,9
[50 59 52],2.0,10
[40 49 59],1.0,1
[46 62 35],2.0,10
[10 21 30],1.0,6
[37 32 23],1.0,8
[68 80 49],1.0,3
[68 83 46],1.0,3
[34 47 32],2.0,8
[41 32 56],1.0,1
[69 79 46],1.0,3
[52 50 38],2.0,10
[49 30 29],1.0,4
[36 51 63],1.0,1
[42 32 21],1.0,8
[56 43 35],1.0,3
[45 48 34],2.0,10
[27 49 25],1.0,6
[58 48 29],1.0,10
[37 37 44],1.0,9
[33 56 36],2.0,1
[64 74 34],1.0,3
[38 39 27],1.0,10
[33 49 33],2.0,8
[71 25 46],1.0,9
[40 30 29],1.0,9
[25 34 35],2.0,7
[43 15 41],1.0,4
[53 33 50],1.0,9
[26 42 18],2.0,7
[47 13 33],1.0,2
[74 68 41],1.0,3
[39 47 29],2.0,8
[50 40 54],1.0,9
[61 55 52],1.0,10
[40 51 54],1.0,9
[44 22 37],2.0,8
[18 32 14],1.0,0
[72 46 40],1.0,10
[39 79 55],1.0,3
[58 43 57],1.0,9
[39 45 38],2.0,10
[27 33 36],1.0,2
[45 44 33],1.0,5
[40 38 29],2.0,8
[ 7 16  6],1.0,0
[46 23 33],1.0,8
[43 22 32],2.0,5
[45 55 48],1.0,9
[44 29 21],1.0,8
[59 32 39],2.0,9
[65 48 49],1.0,10
[52 52 44],2.0,10
[35 48 31],1.0,7
[23 41 24],2.0,4
[55 51 49],1.0,2
[29 30 27],2.0,4
[33 52 32],1.0,4
[48 74 27],1.0,3
[41 57 32],1.0,3
[76 28 42],2.0,3
[39 33 21],1.0,5
[37 21 26],2.0,8
[64 38 54],1.0,3
[23 50 34],1.0,7
[36 44 42],2.0,10
[39 60 24],1.0,3
[49 60 30],1.0,10
[16 41 37],2.0,7
[17 54 36],1.0,6
[49 42 39],2.0,10
[33 43 40],1.0,9
[41 19 39],2.0,2
[59 85 40],1.0,3
[11 32 29],2.0,7
[53 47 47],1.0,3
[49 54 28],1.0,2
[25 37 23],1.0,6
[47 46 23],1.0,2
[32 26 35],2.0,5
[52 81 37],1.0,3
[46 38 46],2.0,10
[58 52 49],1.0,1
[52 48 48],1.0,1
[38 22 30],2.0,8
[42 61 54],1.0,3
[39 30 23],1.0,5
[42 66 58],1.0,3
[32 43 25],2.0,7
[23  8  5],1.0,0
[67 47 57],1.0,9
[65 42 50],1.0,9
[45 63 46],1.0,3
[51 56 38],2.0,10
[40 56 56],1.0,3
[46 45 21],1.0,5
[39 47 26],1.0,2
[49 49 43],1.0,2
[27 38 55],1.0,1
[32 38 22],1.0,8
[37 44 45],2.0,1
[39  9 34],1.0,4
[51 48 48],2.0,10
[49 33 52],1.0,1
[21 36 29],2.0,7
[ 9 35 30],1.0,6
[69 46 54],1.0,9
[39 39 25],1.0,4
[36 43 40],1.0,9
[67 70 32],1.0,3
[42 51 29],1.0,10
[25 38 27],2.0,7
[28 40 58],1.0,1
[63 37 48],1.0,9
[15 21 35],1.0,7
[48 54 56],1.0,1
[44 41 39],1.0,9
[43 32 23],1.0,5
[58 37 29],1.0,10
[57 36 37],2.0,3
[76 42 41],1.0,10
[24 40 18],1.0,0
[41 38 26],2.0,8
[43 30 60],1.0,3
[50 51 49],1.0,1
[52 47 23],1.0,3
[50 45 30],1.0,9
[71 52 38],1.0,3
[39 45 46],2.0,1
[53 41 33],1.0,9
[36 52 27],1.0,9
[34 38 27],1.0,5
[61 25 37],1.0,2
[30 17 36],1.0,2
[41 42 39],2.0,3
[54 49 51],1.0,3
[51 54 38],2.0,10
[35 37 53],1.0,1
[78 67 45],1.0,3
[61 48 51],1.0,1
[32 47 34],2.0,1
[57 50 37],1.0,2
[41 43 40],2.0,10
[45 65 41],2.0,10
[37 28 54],1.0,9
[17 43 21],2.0,7
[56 50 36],1.0,3
[33 35 28],1.0,2
[35 54 35],1.0,5
[56 27 52],1.0,9
[39 32 25],1.0,4
[72 25 48],2.0,3
[40 47 30],2.0,8
[50 35 28],1.0,1
[46 39 25],1.0,1
[50 75 47],1.0,3
[28 39 24],2.0,7
[39 34 29],1.0,10
[28 45 34],1.0,2
[56 33 41],1.0,1
[40 34 57],1.0,9
[25 19 34],2.0,8
[48 49 35],1.0,9
[58 46 47],1.0,9
[75 51 39],1.0,3
[58 36 58],1.0,1
[19 45 23],1.0,6
[19 46 45],1.0,6
[71 38 40],1.0,9
[34 25 29],1.0,2
[44 50 38],2.0,10
[42 49 62],1.0,1
[25 41 30],2.0,7
[11 35 42],1.0,6
[57 30 32],1.0,3
[31 50 42],1.0,10
[21 42 22],1.0,6
[29 43 26],2.0,7
[53 46 35],1.0,3
[ 9 24 10],1.0,0
[67 45 34],1.0,10
[46 39 34],1.0,8
[49 21 29],1.0,4
[37 49 40],2.0,10
[19 25 32],1.0,7
[11 45 39],1.0,6
[44 44 47],2.0,1
[47 35 36],1.0,1
[37 50 49],2.0,1
[47 22 55],1.0,1
[42 39 48],2.0,10
[51 29 39],2.0,5
[20 41 37],1.0,4
[44 52 29],1.0,3
[50 58 29],1.0,10
[66 83 43],1.0,3
[36 28 39],1.0,7
[47 63 49],2.0,10
[38 59 36],1.0,5
[57 29 54],1.0,1
[16 39 26],2.0,7
[52 52 31],1.0,2
[59 40 31],1.0,2
[41 55 35],2.0,1
[31 44 40],1.0,4
[26 37 19],2.0,7
[23 25 36],1.0,4
[31 26 23],1.0,8
[37 38 41],1.0,4
[51 21 47],1.0,9
[45 42 62],1.0,1
[60 80 40],1.0,3
[53 50 26],1.0,10
[26 51 26],2.0,7
[49 63 54],1.0,3
[33 48 37],2.0,1
[10 45 38],1.0,7
[65 53 30],1.0,10
[26 37 20],1.0,8
[66 79 50],1.0,3
[44 62 35],2.0,10
[66 62 34],1.0,10
[38 39 41],1.0,2
[34 51 42],2.0,1
[60 48 47],1.0,9
[31 23 32],2.0,4
[53 64 51],1.0,3
[80 54 55],1.0,3
[42 42 39],2.0,10
[47 42 53],2.0,10
[24 25 36],1.0,6
[51 44 56],1.0,9
[39 36 28],1.0,5
[24 34 23],1.0,6
[39 23 27],1.0,2
[44 41 38],1.0,4
[42 18 48],1.0,1
[31 51 36],1.0,7
[41 23 37],1.0,1
[37 45 31],2.0,8
[47 41 46],2.0,3
[29 20 35],1.0,7
[50 54 34],1.0,5
[58 46 42],1.0,2
[52 51 47],2.0,10
[52 47 24],1.0,5
[47 47 50],1.0,9
[28 48 45],2.0,1
[34 35 27],1.0,9
[39 59 44],2.0,1
[37 37 33],1.0,2
[45 45 29],1.0,1
[32 36 59],1.0,3
[42 33 56],1.0,9
[52 57 37],2.0,10
[48 35 58],1.0,9
[43 36 47],2.0,10
[41 30 26],1.0,5
[22 45 38],1.0,7
[14 38 35],2.0,7
[42 32 49],1.0,9
[28 25 31],2.0,4
[62 30 59],1.0,9
[49 60 40],2.0,10
[56 52 57],1.0,9
[34 43 28],2.0,8
[57 53 49],1.0,9
[35 65 58],1.0,3
[20 33 26],2.0,7
[36 67 38],1.0,3
[66 66 48],1.0,3
[47 38 26],1.0,5
[51 77 29],1.0,3
[59 50 40],1.0,10
[37 48 42],2.0,1
[22 39 36],1.0,6
[19 48 30],2.0,7
[42 48 45],1.0,2
[40 42 23],2.0,8
[32 42 32],1.0,2
[42 38 42],2.0,3
[62 56 41],1.0,3
[52 36 26],1.0,2
[65 29 46],1.0,9
[53 39 32],1.0,3
[41 59 43],2.0,1
[32 38 25],1.0,4
[40 19 39],2.0,2
[63 52 35],1.0,3
[43 48 47],1.0,9
[69 70 34],1.0,3
[33 16 36],1.0,4
[47 23 58],1.0,1
[33 41 48],2.0,1
[57 30 31],1.0,3
[46 39 44],2.0,3
[23 12 31],1.0,7
[66 53 25],1.0,3
[51 18 41],1.0,2
[35 35 21],1.0,5
[10 45 36],1.0,6
[52 58 54],1.0,3
[11 23 25],2.0,6
[45 73 37],1.0,3
[34 58 44],2.0,1
[70 45 30],1.0,3
[69 75 53],1.0,3
[46 26 31],2.0,8
[58 54 34],1.0,3
[73 41 42],1.0,10
[40 50 28],1.0,5
[42 25 35],2.0,8
[29 28 25],2.0,4
[39 40 37],1.0,2
[64 45 37],1.0,10
[45 35 27],1.0,10
[20 36 31],2.0,7
[30 44 56],1.0,9
[59 35 60],1.0,1
[32 46 26],2.0,7
[41 47 39],1.0,5
[42 54 29],1.0,10
[42 22 25],2.0,8
[31 48 28],2.0,7
[42 62 45],2.0,10
[66 28 33],1.0,3
[42 48 50],2.0,1
[64 50 33],1.0,10
[20 22 35],1.0,7
[41 37 31],1.0,1
[41 45 40],2.0,3
[60 41 49],1.0,9
[44 14 38],2.0,2
[23 50 34],1.0,4
[46 44 40],2.0,3
[53 41 38],1.0,10
[33 44 25],2.0,8
[43 38 23],1.0,3
[52 50 33],2.0,10
[44 15 36],2.0,2
[59 84 44],1.0,3
[31 37 55],1.0,9
[40 43 57],1.0,1
[46 46 50],2.0,10
[36 11 29],1.0,7
[35 40 47],2.0,10
[74 71 56],1.0,3
[30 47 33],1.0,5
[19 39 28],2.0,7
[51 49 35],1.0,1
[52 50 42],1.0,1
[46 38 53],2.0,3
[51 39 25],1.0,5
[18 41 25],2.0,7
[47 40 44],2.0,10
[40 39 38],1.0,9
[50 31 36],1.0,8
[57 54 45],1.0,2
[ 8 28 20],1.0,7
[28 46 26],1.0,5
[18 41 27],2.0,7
[27 42 37],1.0,6
[48 82 42],1.0,3
[46 48 33],2.0,10
[10 25 39],1.0,6
[51 39 31],1.0,10
[50 39 53],1.0,9
[48 47 29],1.0,3
[54 48 51],2.0,10
[51 67 27],1.0,3
[39 29 30],1.0,5
[48 60 42],1.0,1
[19 20 27],1.0,6
[38 49 35],2.0,1
[51 60 52],1.0,1
[44 40 54],2.0,10
[42 40 53],1.0,3
[49 43 34],2.0,10
[41 34 24],2.0,8
[68 73 46],1.0,3
[41 59 47],1.0,3
[49 34 23],1.0,4
[20 46 18],2.0,7
[44 20 56],1.0,9
[ 4 37 34],1.0,6
[59 72 60],1.0,3
[45 21 56],1.0,1
[52 43 34],1.0,4
[31 22 28],1.0,8
[14 33 35],2.0,7
[27 46 36],1.0,2
[43 43 35],1.0,5
[55 47 52],1.0,3
[41 44 26],2.0,8
[49 64 46],2.0,10
[48 79 36],1.0,3
[42 23 52],1.0,9
[33 42 46],2.0,1
[46 20 23],1.0,4
[23 21 45],1.0,6
[11 50 41],1.0,6
[29 36 30],2.0,7
[60 49 27],1.0,3
[41 46 35],1.0,8
[51 41 47],2.0,10
[32 31 20],1.0,5
[17 24 15],1.0,7
[50 57 37],1.0,1
[47 44 42],2.0,10
[55 43 35],1.0,9
[40 21 28],2.0,8
[57 72 41],1.0,3
[15 37 37],2.0,7
[45 49 30],1.0,3
[71 33 40],2.0,3
[48 67 35],1.0,3
[35 41 37],2.0,10
[46 20 44],2.0,2
[43 49 32],2.0,10
[52 29 19],1.0,5
[41 37 24],2.0,8
[59 27 33],1.0,3
[31 51 40],1.0,2
[75 43 31],1.0,3
[10 41 35],2.0,7
[53 32 33],1.0,3
[52 36 25],1.0,5
[28 48 20],2.0,7
[45 53 43],1.0,2
[51 48 58],1.0,9
[46 58 51],2.0,10
[58 15 32],1.0,2
[39 19 25],2.0,8
[15 53 25],1.0,6
[52 31 28],1.0,5
[50 41 51],2.0,3
[46 17 28],1.0,2
[30 27 23],1.0,4
[62 29 43],1.0,2
[56 49 41],1.0,2
[49 57 47],1.0,2
[28 41 38],2.0,1
[59 77 39],1.0,3
[50 33 45],1.0,1
[32 24 33],2.0,4
[63 63 26],1.0,3
[47 21 59],1.0,9
[47 36 32],1.0,4
[29 48 43],1.0,3
[56 42 35],1.0,2
[43 38 36],1.0,5
[37 50 30],1.0,7
[34 42 29],2.0,7
[57 67 42],1.0,3
[33 35 37],1.0,10
[63 29 34],1.0,3
[33 23 51],1.0,1
[12 26 26],2.0,7
[49 41 32],1.0,3
[56 43 43],2.0,10
[50 55 60],1.0,3
[59 66 43],1.0,10
[24 38 27],2.0,7
[42 42 35],1.0,9
[49 58 50],2.0,10
[27 44 32],1.0,5
[32 23 26],1.0,8
[35 42 40],2.0,1
[57 60 34],1.0,3
[59 39 46],2.0,3
[56 40 27],1.0,2
[19 46 32],2.0,7
[49 40 50],1.0,9
[48 39 48],2.0,10
[65 56 46],1.0,2
[39 48 31],1.0,9
[42 20 34],2.0,8
[37 32 36],1.0,9
[50 48 41],2.0,10
[68 41 53],1.0,10
[36 50 38],1.0,8
[39 59 36],2.0,1
[10 35 27],1.0,6
[39 15 40],2.0,2
[61 46 59],1.0,3
[48 51 33],1.0,5
[36 45 35],2.0,1
[32 32 34],2.0,4
[46 63 42],1.0,1
[64 30 40],2.0,3
[24 37 46],1.0,6
[32 39 22],1.0,5
[ 7 32 24],2.0,7
[48 23 30],1.0,2
[24 30 39],1.0,6
[50 60 49],2.0,10
[69 76 55],1.0,3
[47 40 29],1.0,5
[28 46 32],1.0,4
[23 44 29],2.0,7
[62 83 36],1.0,3
[34 43 38],1.0,7
[51 40 33],2.0,10
[48 65 42],1.0,3
[62 50 38],1.0,9
[59 62 35],1.0,10
[19 49 18],2.0,7
[ 9 33 32],1.0,6
[16 36 19],2.0,7
[40 39 52],2.0,10
[44 19 24],1.0,4
[ 3 46 43],1.0,6
[31 41 24],1.0,8
[30 32 44],1.0,1
[41 40 45],2.0,10
[64 72 28],1.0,3
[35 54 44],2.0,1
[74 52 41],1.0,3
[25 48 37],1.0,7
[51 38 50],1.0,9
[46 52 35],2.0,1
[37 53 52],1.0,9
[38 71 25],1.0,3
[38 23 36],2.0,8
[23 37 21],1.0,6
[39 35 50],2.0,10
[18 26 19],1.0,7
[49 32 28],1.0,4
[42 53 52],1.0,9
[42 47 57],1.0,1
[67 56 33],1.0,10
[52 44 34],2.0,10
[17 19 21],1.0,7
[21 49 32],1.0,8
[78 39 42],2.0,3
[19 17  1],1.0,0
[33 25 25],1.0,7
[26 52 31],1.0,7
[52 49 40],2.0,10
[35 37 35],2.0,1
[43 50 22],1.0,5
[36 28 32],2.0,5
[53 44 62],1.0,1
[37 27 32],2.0,5
[ 8 28 26],2.0,7
[13 24 28],1.0,6
[52 38 60],1.0,3
[11 30 27],2.0,7
[40 64 54],1.0,3
[49 34 53],1.0,10
[28 49 35],2.0,1
[86 31 60],1.0,3
[45 36 40],1.0,4
[38 26 42],1.0,1
[41 16 40],2.0,2
[13 48 33],2.0,7
[32 57 46],1.0,3
[65 24 33],1.0,9
[70 33 40],2.0,3
[42 67 50],1.0,3
[46 74 53],1.0,3
[68 34 46],2.0,3
[45 40 36],1.0,5
[10 38 16],2.0,7
[23 29 17],1.0,0
[24 52 32],1.0,7
[36 58 35],2.0,1
[41 57 52],1.0,3
[60 29 35],1.0,2
[38 57 41],2.0,1
[46 43 27],1.0,3
[40 43 57],1.0,9
