index_of_pixel,label,source_of_pixel
[40 39 50],1.0,9
[36 56 51],2.0,10
[37 41 44],1.0,3
[75 41 45],1.0,10
[26 38 21],1.0,8
[30 38 29],2.0,4
[48 52 35],1.0,3
[64 47 41],1.0,10
[20 30 17],2.0,7
[44 38 35],2.0,1
[69 38 46],2.0,3
[32 21 23],2.0,4
[61 39 51],2.0,3
[55 38 52],2.0,3
[53 41 52],2.0,3
[41 39 34],2.0,1
[58 77 28],1.0,3
[34 33 38],2.0,5
[50 59 32],2.0,10
[46 29 37],2.0,8
[55 37 49],2.0,3
[33 21 46],1.0,9
[60 49 42],1.0,10
[46 50 38],1.0,9
[81 28 48],1.0,3
[37 50 52],2.0,10
[58 33 36],1.0,2
[49 71 59],1.0,3
[45 38 35],2.0,1
[11 27 25],2.0,7
[40 35 47],2.0,3
[50 50 35],1.0,3
[41 23 38],2.0,5
[23 55 30],1.0,6
[64 33 38],2.0,3
[31 43 49],1.0,9
[60 40 48],2.0,3
[51 38 54],1.0,9
[58 66 36],1.0,3
[62 36 34],1.0,9
[32 30 33],1.0,9
[37 43 29],1.0,2
[27 34 41],1.0,4
[56 52 42],1.0,9
[59 46 33],1.0,10
[66 46 49],1.0,3
[45 22 53],1.0,9
[ 5 36 32],1.0,7
[43 46 55],1.0,9
[50 57 51],1.0,1
[38 23 46],2.0,2
[44 50 35],1.0,9
[30 38 53],1.0,9
[34 56 42],1.0,2
[59 68 36],1.0,3
[54 24 52],1.0,9
[65 29 47],2.0,3
[10 25 32],1.0,6
[62 41 48],1.0,10
[ 9 48 27],1.0,6
[27 22 20],1.0,8
[59 27 48],1.0,9
[39 46 29],1.0,2
[ 9 43 19],2.0,7
[46 42 35],2.0,1
[56 43 48],2.0,10
[33 40 35],2.0,1
[73 69 47],1.0,3
[41 33 37],2.0,8
[37 58 40],2.0,10
[31 35 18],2.0,7
[52 48 46],1.0,9
[23 14 11],1.0,0
[40 52 54],2.0,10
[25 26 28],2.0,7
[29 37 22],2.0,7
[65 50 36],1.0,10
[22 28 36],1.0,6
[52 33 46],2.0,3
[40 30 29],1.0,9
[52 57 39],1.0,3
[49 15 42],2.0,2
[47 41 38],2.0,3
[39 61 52],1.0,10
[36 32 48],2.0,10
[38 61 29],1.0,3
[31 51 28],2.0,8
[31 38 27],1.0,9
[52 31 41],2.0,3
[64 11 41],1.0,2
[40 21 35],1.0,7
[69 78 50],1.0,3
[47 52 50],1.0,9
[49 36 31],1.0,2
[55 31 54],1.0,9
[16 20 14],1.0,0
[42 34 46],1.0,1
[32 25 36],1.0,1
[40 48 26],1.0,3
[60 53 44],1.0,10
[55 47 44],1.0,9
[ 4 27 28],1.0,7
[51 32 25],1.0,4
[40 10 49],1.0,2
[64 85 51],1.0,3
[59 33 55],1.0,3
[30 43 20],1.0,8
[53 64 27],1.0,3
[60 56 35],1.0,9
[20 36 23],1.0,0
[71 45 37],1.0,9
[52 24 47],1.0,2
[58 69 37],1.0,3
[51 44 31],1.0,4
[69 29 50],2.0,3
[34 51 38],1.0,2
[44 34 61],1.0,1
[49 73 56],1.0,3
[62 47 42],1.0,10
[61 89 50],1.0,3
[38 52 49],1.0,9
[36 51 37],1.0,5
[30 23 18],1.0,8
[35 34 32],1.0,7
[21 35 20],1.0,0
[38 35 31],1.0,7
[36 28 21],1.0,5
[35 49 51],1.0,3
[32 29 37],1.0,7
[38 35 33],2.0,5
[70 77 38],1.0,3
[50 24 32],1.0,9
[46 73 33],1.0,3
[49 35 54],1.0,9
[16 15 39],1.0,6
[20 26 28],1.0,6
[65 44 26],1.0,3
[47 42 40],1.0,9
[81 41 42],1.0,3
[27 39 20],1.0,8
[42 22 40],1.0,4
[47 75 47],1.0,3
[48 23 37],2.0,5
[37 56 50],2.0,10
[42 22 47],2.0,2
[64 49 36],1.0,2
[46 50 46],2.0,1
[43 45 53],1.0,9
[46 37 34],1.0,8
[46 45 40],1.0,9
[ 7 45 30],1.0,6
[48 56 48],1.0,3
[52 69 58],1.0,3
[65 24 43],2.0,3
[79 32 39],2.0,3
[39 24 37],1.0,4
[ 8 51 44],1.0,6
[53 82 54],1.0,3
[50 38 52],1.0,9
[63 75 26],1.0,3
[39 44 60],1.0,1
[47 48 37],1.0,3
[64 41 32],1.0,3
[32 26 41],1.0,4
[21 50 37],1.0,6
[26 49 33],1.0,8
[69 36 43],1.0,9
[67 38 31],1.0,3
[59 58 29],1.0,10
[42 47 56],1.0,9
[48 44 30],1.0,3
[58 48 50],1.0,9
[65 73 36],1.0,3
[65 64 44],1.0,3
[23 47 39],1.0,4
[66 50 53],1.0,10
[62 50 41],1.0,2
[66 23 35],1.0,3
[30 14 26],1.0,8
[54 26 32],1.0,2
[11 21 37],1.0,6
[36 46 49],2.0,10
[46 52 25],1.0,3
[75 24 49],2.0,3
[31 29 18],2.0,7
[32 45 62],1.0,1
[22 14 11],1.0,0
[22 27 28],2.0,7
[69 39 32],1.0,9
[55 59 42],1.0,3
[25 54 33],1.0,7
[38 17 45],2.0,2
[28 52 44],1.0,9
[61 56 25],1.0,3
[36 15 28],2.0,8
[38 43 34],1.0,9
[45 63 46],2.0,10
[55 43 41],2.0,3
[28 18 33],2.0,8
[12 50 26],2.0,7
[37 21 30],2.0,8
[28 40 24],2.0,4
[15 33 36],2.0,7
[35 46 18],1.0,5
[33 21 29],2.0,4
[20 27 25],2.0,4
[17 10 23],2.0,0
[45 25 28],1.0,5
[46 50 33],1.0,5
[40 53 50],2.0,10
[36 42 33],1.0,3
[51 43 54],2.0,10
[56 33 38],2.0,3
[35 57 58],1.0,3
[44 20 30],2.0,8
[32 36 16],2.0,7
[73 25 33],1.0,3
[32 37 23],2.0,7
[32 39 17],2.0,7
[48 13 42],2.0,2
[61 33 40],2.0,9
[28 33 51],1.0,9
[31 55 29],2.0,7
[54 44 52],2.0,10
[25 19 33],2.0,8
[18 29 38],1.0,7
[40 37 36],2.0,5
[49 30 55],1.0,9
[69 31 47],1.0,2
[63 42 54],1.0,9
[26 16 31],1.0,4
[47 18 49],1.0,2
[39 27 47],1.0,1
[58 52 41],1.0,3
[68 33 30],1.0,3
[66 37 48],2.0,3
[35 26 35],1.0,2
[28 38 37],1.0,7
[48 38 37],1.0,8
[44 48 28],1.0,5
[38 45 52],2.0,10
[40 62 35],2.0,10
[75 77 54],1.0,3
[58 37 48],2.0,3
[22 48 18],2.0,7
[65 42 52],1.0,9
[36 36 30],1.0,5
[63 74 33],1.0,3
[46 43 50],2.0,3
[25 52 34],1.0,4
[14 44 39],1.0,7
[17 31 17],2.0,7
[40 53 40],1.0,3
[54 33 37],2.0,3
[62 38 37],2.0,3
[43 15 33],2.0,2
[44 38 37],2.0,8
[41 56 50],2.0,10
[34 46 44],2.0,10
[15 29 27],2.0,7
[26 33 16],1.0,0
[34 29 40],2.0,10
[27 35 23],2.0,4
[75 42 56],1.0,3
[35 41 44],2.0,10
[42 31 39],2.0,8
[39 20 46],2.0,2
[51 69 57],1.0,3
[34 57 25],1.0,7
[60 20 47],1.0,9
[41 45 39],1.0,5
[47 35 34],1.0,8
[48 67 31],1.0,3
[18 48 47],1.0,6
[59 33 39],2.0,9
[74 37 38],2.0,3
[76 53 53],1.0,3
[59 42 29],1.0,10
[51 43 26],1.0,10
[20 26 29],2.0,7
[51 40 48],1.0,1
[39 56 40],2.0,10
[51 53 39],1.0,2
[15 49 30],1.0,6
[37 41 53],2.0,10
[17 19 22],1.0,6
[33 33 21],1.0,8
[28 39 37],1.0,5
[45 55 42],1.0,3
[44 23 43],1.0,9
[78 76 47],1.0,3
[42 59 36],1.0,3
[47 48 54],1.0,1
[72 48 54],1.0,3
[61 13 31],1.0,2
[75 21 49],1.0,3
[47 59 23],1.0,3
[66 88 50],1.0,3
[70 45 41],1.0,9
[78 49 42],1.0,3
[13 34 27],1.0,6
[48 70 56],1.0,3
[44 28 51],1.0,3
[19 10 15],1.0,0
[45 46 32],1.0,3
[ 7 37 35],1.0,6
[56 42 57],1.0,3
[63 50 28],1.0,3
[54 50 26],1.0,3
[62 51 31],1.0,10
[11 23 47],1.0,6
[59 46 33],1.0,9
[45 20 39],1.0,4
[52 71 42],1.0,3
[49 39 52],1.0,9
[55 41 34],1.0,3
[47 26 50],1.0,10
[42 15 45],2.0,2
[50 46 29],1.0,3
[32 44 38],1.0,4
[63 50 38],1.0,2
[27 40 39],1.0,5
[61 40 35],1.0,9
[63 49 33],1.0,10
[56 48 31],1.0,2
[64 43 30],1.0,9
[79 36 57],1.0,3
[66 43 28],1.0,3
[20 24 37],1.0,7
[33 59 26],1.0,7
[42 34 19],1.0,5
[38 45 24],1.0,5
[56 23 58],1.0,9
[31 50 43],1.0,2
[23 55 26],1.0,6
[54 33 47],1.0,1
[62 33 32],1.0,3
[ 6 40 27],1.0,6
[31 46 18],1.0,8
[37 40 41],1.0,9
[57 47 31],1.0,2
[43 24 49],1.0,2
[53 55 43],1.0,1
[32 30 39],1.0,7
[54 31 21],1.0,5
[55 64 35],1.0,3
[33 31 34],1.0,9
[35 44 29],2.0,8
[63 33 37],2.0,3
[14 27 17],1.0,7
[61 45 34],1.0,10
[55 38 32],1.0,3
[57 23 52],1.0,9
[33 57 57],1.0,3
[26 53 28],2.0,7
[32 47 34],1.0,5
[27 48 22],2.0,7
[40 69 39],1.0,3
[32 43 35],2.0,8
[61 51 28],1.0,9
[38 31 17],1.0,5
[68 35 56],1.0,9
[53 57 37],1.0,1
[29 32 54],1.0,1
[64 62 34],1.0,3
[39 27 44],1.0,1
[46 51 31],1.0,3
[22 48 34],1.0,4
[36 33 27],2.0,7
[63 22 34],1.0,2
[48 58 31],1.0,10
[30 40 19],1.0,8
[40 26 34],1.0,4
[31 33 27],2.0,4
[28 44 46],1.0,9
[59 24 55],1.0,9
[18 47 34],1.0,6
[49 54 25],1.0,3
[47 44 48],2.0,3
[42 48 36],1.0,9
[58 23 36],1.0,9
[59 34 54],1.0,3
[53 50 43],2.0,10
[46 34 39],2.0,5
[50 44 44],2.0,3
[53 28 25],1.0,2
[59 74 40],1.0,3
[41 25 28],1.0,2
[37 58 26],1.0,7
[62 58 32],1.0,10
[29 53 46],1.0,9
[44 40 21],1.0,8
[21 28 24],1.0,0
[47 22 52],1.0,9
[63 77 36],1.0,3
[55 57 28],1.0,10
[52 57 50],1.0,1
[29 55 27],1.0,5
[52 51 37],1.0,2
[35 49 30],1.0,9
[13 21 29],1.0,7
[36 31 20],1.0,8
[54 23 58],1.0,9
[53 34 40],2.0,3
[44 23 39],2.0,5
[33 22 23],2.0,4
[33 53 36],1.0,9
[72 25 46],2.0,3
[29 34 22],2.0,7
[29 42 15],2.0,7
[56 39 51],2.0,3
[18 35 35],1.0,4
[48 16 39],2.0,2
[39 30 37],2.0,8
[62 35 45],2.0,3
[71 42 55],1.0,9
[39 25 33],1.0,2
[24 50 49],1.0,1
[12 43 24],2.0,6
[57 36 45],2.0,3
[35 37 51],2.0,10
[47 69 46],1.0,3
[76 27 34],1.0,3
[61 33 48],2.0,3
[43 22 43],2.0,2
[42 60 46],2.0,10
[33 40 35],2.0,5
[55 28 38],2.0,9
[24 26 30],2.0,7
[34 44 25],2.0,7
[66 31 53],2.0,3
[32 41 34],2.0,1
[47 26 25],2.0,8
[57 37 51],2.0,3
[32 43 37],2.0,5
[34 46 34],1.0,3
[34 51 51],2.0,10
[32 29 17],1.0,7
[74 28 37],2.0,3
[67 41 37],1.0,9
[18 30 19],2.0,7
[46 41 50],1.0,1
[43 62 46],2.0,10
[35 41 19],1.0,8
[19 18  5],1.0,0
[54 45 43],1.0,3
[35 28 24],1.0,8
[71 40 51],1.0,9
[33 48 37],1.0,8
[38 41 27],1.0,4
[59 54 31],1.0,10
[44 46 28],1.0,3
[46 72 49],1.0,3
[17 29  6],1.0,0
[14 30 28],2.0,7
[23 29 28],2.0,7
[67 44 49],1.0,2
[20 51 18],2.0,7
[82 33 46],1.0,3
[21 17 12],1.0,0
[ 9 48 28],2.0,7
[30 21 26],1.0,8
[21 23 18],1.0,7
[40 27 34],2.0,5
[74 73 47],1.0,3
[43 44 38],1.0,2
[21 16 38],1.0,6
[26 21 23],2.0,4
[55 26 32],1.0,9
[46 23 27],1.0,5
[29 37 20],1.0,8
[36 37 20],1.0,5
[18 54 28],2.0,7
[32 39 36],2.0,5
[38 27 31],1.0,7
[20 34 26],2.0,7
[46 28 37],2.0,8
[44 37 56],1.0,3
[65 26 37],1.0,2
[51 39 31],1.0,5
[24 37 31],2.0,4
[52 50 34],1.0,3
[35 21 35],2.0,2
[53 61 33],2.0,10
[52 78 53],1.0,3
[11 16  7],1.0,0
[34 39 37],1.0,9
[21 49 36],1.0,6
[34 26 41],1.0,4
[45 74 35],1.0,3
[54 77 45],1.0,3
[35 32 36],1.0,9
[38 25 44],2.0,2
[74 79 56],1.0,3
[31 43 26],1.0,5
[74 32 53],2.0,3
[38 54 30],1.0,10
[41 16 27],1.0,8
[61 37 32],1.0,3
[22 47 16],2.0,7
[40 29 38],2.0,8
[41 53 30],2.0,1
[45 39 25],2.0,8
[58 56 52],2.0,10
[23 27 31],1.0,6
[72 33 34],1.0,3
[39 41 44],2.0,3
[53 59 44],2.0,10
[65 46 31],1.0,9
[33 29 27],1.0,5
[53 33 59],1.0,3
[38 41 49],2.0,10
[27 48 27],2.0,8
[15 47 21],2.0,6
[46 69 57],1.0,3
[71 49 52],1.0,3
[ 4 31 24],1.0,7
[61 59 44],1.0,9
[15 52 31],1.0,6
[54 86 49],1.0,3
[60 79 55],1.0,3
[41 30 43],1.0,9
[52 36 54],1.0,9
[34 37 44],1.0,9
[40 46 33],1.0,5
[51 69 25],1.0,3
[38 58 35],1.0,5
[46 28 19],1.0,5
[45 55 61],1.0,1
[52 69 50],1.0,10
[34 43 52],1.0,9
[62 76 25],1.0,3
[56 24 34],1.0,2
[45 30 22],1.0,2
[43 76 40],1.0,3
[35 35 30],1.0,9
[67 50 44],1.0,2
[57 61 38],1.0,9
[39 31 25],1.0,1
[23 10 15],1.0,0
[47 48 56],1.0,3
[50 36 29],1.0,3
[43 44 39],1.0,4
[21 28 32],1.0,6
[10 23 38],1.0,6
[38 56 42],1.0,9
[60 59 25],1.0,3
[38 18 29],2.0,8
[47 70 35],1.0,3
[21 27 37],1.0,6
[70 45 29],1.0,3
[36 62 58],1.0,3
[ 8 32 23],2.0,7
[16 12 10],1.0,0
[31 37 22],2.0,7
[53 33 34],1.0,3
[62 45 37],1.0,10
[69 82 45],1.0,3
[10 17  8],1.0,0
[81 51 55],1.0,3
[56 54 49],1.0,9
[52 57 39],1.0,1
[45 48 29],1.0,1
